fevax@fevax-cocina:/mnt/Android/logcats/dream2lte$ adb shell cat /proc/last_kmsg
08378]  [2:  Binder:3390_2: 4636] [@][0][GP9] sensor fcount: 13, fcount: 13
<7>[   50.021630]  [2:  Binder:3390_2: 4636] [@][HW][0][ID:12][OUT:2]hw_mcsc_disable: clear_wdma_addr
<7>[   50.021649]  [2:  Binder:3390_2: 4636] [@][HW][0][ID:12][OUT:3]hw_mcsc_disable: clear_wdma_addr
<7>[   50.021669]  [2:  Binder:3390_2: 4636] [@][HW][0][ID:12][OUT:4]hw_mcsc_disable: clear_wdma_addr
<7>[   50.021687]  [2:  Binder:3390_2: 4636] [@][HW][0][ID:12]mcsc_disable: done, (0x7fff)
<7>[   50.021698]  [2:  Binder:3390_2: 4636] [@][HW][0][ID:15]vra_disable: Vvalid(0)
<7>[   50.021713]  [2:  Binder:3390_2: 4636] [@][LIB]FWALGS_TASK_SET_ABORT (0)
<6>[   50.021753]  [2:  Binder:3390_2: 4636] [@][HW][0]complete_list (0)(0)(0)
<7>[   50.021764]  [2:  Binder:3390_2: 4636] [@][HW][0]process_list (0)
<7>[   50.021773]  [2:  Binder:3390_2: 4636] [@][HW][0]request_list (0)
<6>[   50.021782]  [2:  Binder:3390_2: 4636] [@][HW][0]late_list (0)(0)(0)
<7>[   50.021790]  [2:  Binder:3390_2: 4636] [@][HW][0]late_list[1] (0)
<7>[   50.021799]  [2:  Binder:3390_2: 4636] [@][HW][0]late_list[2] (0)
<7>[   50.021807]  [2:  Binder:3390_2: 4636] [@][HW][0]late_list[3] (0)
<7>[   50.022149]  [2:  Binder:3390_2: 4636] [@][0][GP2]fimc_is_ischain_isp_stop(5):0
<7>[   50.022171]  [2:  Binder:3390_2: 4636] [@][@][0][GP2][ERR]fimc_is_group_buffer_finish:2431:frame(0) is not com state(0)
<6>[   50.022181]  [2:  Binder:3390_2: 4636] [FRM] Free(0x00001000, 7) :0[0]->1[0]->6[7]->5[8]->4[9]->3[10]->2[11]->X
<6>[   50.022199]  [2:  Binder:3390_2: 4636] [FRM] Request(0x00001000, 0) :X
<6>[   50.022207]  [2:  Binder:3390_2: 4636] [FRM] Process(0x00001000, 0) :X
<6>[   50.022216]  [2:  Binder:3390_2: 4636] [FRM] Complete(0x00001000, 0) :X
<7>[   50.022225]  [2:  Binder:3390_2: 4636] [@][@][0][ERR]fimc_is_ischain_isp_buffer_finish:4441:fimc_is_group_buffer_finish is fail(-22)
<7>[   50.022236]  [2:  Binder:3390_2: 4636] [@][@][0][ERR]fimc_is_ixs_buffer_finish:797:fimc_is_ischain_isp_buffer_finish is fail(-22)
<7>[   50.022253]  [2:  Binder:3390_2: 4636] [@][@][0][GP2][ERR]fimc_is_group_buffer_finish:2431:frame(1) is not com state(0)
<6>[   50.022261]  [2:  Binder:3390_2: 4636] [FRM] Free(0x00001000, 7) :0[0]->1[0]->6[7]->5[8]->4[9]->3[10]->2[11]->X
<6>[   50.022276]  [2:  Binder:3390_2: 4636] [FRM] Request(0x00001000, 0) :X
<6>[   50.022284]  [2:  Binder:3390_2: 4636] [FRM] Process(0x00001000, 0) :X
<6>[   50.022292]  [2:  Binder:3390_2: 4636] [FRM] Complete(0x00001000, 0) :X
<7>[   50.022301]  [2:  Binder:3390_2: 4636] [@][@][0][ERR]fimc_is_ischain_isp_buffer_finish:4441:fimc_is_group_buffer_finish is fail(-22)
<7>[   50.022310]  [2:  Binder:3390_2: 4636] [@][@][0][ERR]fimc_is_ixs_buffer_finish:797:fimc_is_ischain_isp_buffer_finish is fail(-22)
<7>[   50.072044]  [1:   cameraserver: 3390] [@][0]Deinit sensor module(32)
<7>[   50.072061]  [1:   cameraserver: 3390] [@][HW]fimc_is_itf_sensor_mode_wrap: call RTA_SHUT_DOWN
<6>[   50.072083]  [1:   cameraserver: 3390] [@][LIB] [@][RTA] UnregisterKernelService :: shutdown done 
<6>[   50.072174]  [2:   cameraserver: 3390] [@][LIB] [@][RTA] RTA_companion_deinit companion = 0xffffff80fa5bbc60, IrqFlag = 0 
<7>[   50.072224]  [2:   cameraserver: 3390] [@]fimc_is_ois_i2c_config : ois_hsi2c_stauts(0),onoff(1)
<7>[   50.079942]  [2:   cameraserver: 3390] [@]fimc_is_ois_i2c_config : ois_hsi2c_stauts(1),onoff(0)
<7>[   50.080019]  [2:   cameraserver: 3390] [@](fimc_is_comp_i2c_config):onoff(1)
<7>[   50.092778]  [1:   cameraserver: 3390] [@][check]crc value : 10
<7>[   50.092825]  [1:   cameraserver: 3390] [@]crc done(0).
<7>[   50.092866]  [1:   cameraserver: 3390] [@](fimc_is_comp_i2c_config):onoff(0)
<7>[   50.092919]  [1:   cameraserver: 3390] [@] pin_ctrl(act(5), pin(0), val(0), nm(VDDAF_2.8V_CAM)
<7>[   50.092930]  [1:   cameraserver: 3390] [@] pin_ctrl(act(1), pin(147), val(0), nm(sen_rst)
<7>[   50.092939]  [1:   cameraserver: 3390] [@] pin_ctrl(act(4), pin(0), val(0), nm(pin)
<7>[   50.092948]  [1:   cameraserver: 3390] [@] pin_ctrl(act(4), pin(0), val(1), nm(pin)
<7>[   50.092957]  [1:   cameraserver: 3390] [@] pin_ctrl(act(4), pin(0), val(0), nm(pin)
<7>[   50.092967]  [1:   cameraserver: 3390] [@] pin_ctrl(act(1), pin(149), val(0), nm(prep_rst low)
<7>[   50.092976]  [1:   cameraserver: 3390] [@] pin_ctrl(act(5), pin(0), val(0), nm(VDDD_NORET_0.9V_COMP)
<7>[   50.092985]  [1:   cameraserver: 3390] [@] pin_ctrl(act(5), pin(0), val(0), nm(VDDD_CORE_0.8V_COMP)
<7>[   50.092994]  [1:   cameraserver: 3390] [@] pin_ctrl(act(5), pin(0), val(0), nm(VDDD_CORE_1.0V_COMP)
<7>[   50.093004]  [1:   cameraserver: 3390] [@] pin_ctrl(act(5), pin(0), val(0), nm(VDDA_1.8V_COMP)
<7>[   50.093013]  [1:   cameraserver: 3390] [@] pin_ctrl(act(5), pin(0), val(0), nm(VDDA_2.9V_CAM)
<7>[   50.093022]  [1:   cameraserver: 3390] [@] pin_ctrl(act(5), pin(0), val(0), nm(VDDD_1.2V_CAM)
<7>[   50.093031]  [1:   cameraserver: 3390] [@] pin_ctrl(act(5), pin(0), val(1), nm(VDDD_RET_1.0V_COMP)
<7>[   50.093041]  [1:   cameraserver: 3390] [@] pin_ctrl(act(5), pin(0), val(0), nm(OIS_VDD_2.8V)
<7>[   50.093050]  [1:   cameraserver: 3390] [@] pin_ctrl(act(5), pin(0), val(0), nm(OIS_VM_2.8V)
<7>[   50.093059]  [1:   cameraserver: 3390] [@] pin_ctrl(act(5), pin(0), val(0), nm(OIS_VDD_1.8V)
<6>[   50.093884]  [1:   cameraserver: 3390] s2m_disable_regmap: s2mpb02-ldo12 disable (0x29)
<6>[   50.096142]  [1:   cameraserver: 3390] s2m_disable_regmap: s2mpb02-ldo1 disable (0x1e)
<6>[   50.099553]  [1:   cameraserver: 3390] s2m_disable_regmap: s2mpb02-buck2 disable (0xd)
<6>[   50.101743]  [1:   cameraserver: 3390] s2m_disable_regmap: s2mpb02-ldo2 disable (0x1f)
<6>[   50.104404]  [1:   cameraserver: 3390] s2m_disable_regmap: s2mpb02-ldo9 disable (0x26)
<6>[   50.105037]  [1:   cameraserver: 3390] s2m_disable_regmap: s2mpb02-ldo11 disable (0x28)
<6>[   50.105285]  [3:  kworker/u17:0:   80] [SSP]: MSG From MCU - AR-101,-187,4091,100,20 ldo_toggle :0
<6>[   50.105675]  [2:   cameraserver: 3390] s2m_disable_regmap: s2mpb02-ldo3 disable (0x20)
<7>[   50.106107]  [2:   cameraserver: 3390] [@] exynos_fimc_is_module_pin_control : regulator_set_voltage(700000)
<4>[   50.107040]  [1:   cameraserver: 3390] VDDD_RET_1.0V_COMP regulator is already enabled
<6>[   50.107371]  [1:   cameraserver: 3390] s2m_disable_regmap: s2mpb02-ldo15 disable (0x2c)
<6>[   50.108005]  [1:   cameraserver: 3390] s2m_disable_regmap: s2mpb02-ldo14 disable (0x2b)
<6>[   50.108617]  [1:   cameraserver: 3390] s2m_disable_regmap: s2mpb02-ldo17 disable (0x2e)
<7>[   50.108952]  [1:   cameraserver: 3390] [@]fimc_is_vender_preprocessor_gpio_off: COMPANION STATE 2
<7>[   50.108970]  [1:   cameraserver: 3390] [@]fimc_is_vender_module_del[1202] disable actuator i2c client. position = 0
<7>[   50.109010]  [1:   cameraserver: 3390] [@]fimc_is_vender_module_del[1207] disable ois i2c client. position = 0
<7>[   50.109021]  [1:   cameraserver: 3390] [@]fimc_is_vender_module_del[1212] disable preprocessor i2c client. position = 0
<7>[   50.109033]  [1:   cameraserver: 3390] [@]fimc_is_vender_module_del[1217] disable cis i2c client. position = 0
<7>[   50.109059]  [1:   cameraserver: 3390] [@][PRE:D] fimc_is_preproc_runtime_suspend():0
<7>[   50.109076]  [1:   cameraserver: 3390] [@][RSC] rsctype: 7, rsccount: device[0], core[3]
<7>[   50.109086]  [1:   cameraserver: 3390] [@][0][PRE:D] fimc_is_preproc_close(0)
<7>[   50.109100]  [1:   cameraserver: 3390] [@][0][PRE:V] fimc_is_pre_video_close():0
<7>[   50.109677]  [1:   cameraserver: 3390] [@][0][WRN]already group stop
<7>[   50.109695]  [1:   cameraserver: 3390] [@][0][GP0]fimc_is_ischain_3aa_stop(0):0
<7>[   50.109778]  [1:   cameraserver: 3390] [@][0][30S:V] fimc_is_3aa_video_close(8,0):0
<7>[   50.109943]  [1:   cameraserver: 3390] [@][0][30P:V] fimc_is_3xp_video_close(7,0):0
<7>[   50.110088]  [1:   cameraserver: 3390] [@][0][30C:V] fimc_is_3xc_video_close(6,0):0
<7>[   50.110221]  [1:   cameraserver: 3390] [@][0][SS0VC1:V] fimc_is_ssxvc1_video_close(0):0
<7>[   50.110282]  [1:   cameraserver: 3390] [@][0][SS0VC0:V] fimc_is_ssxvc0_video_close(0):0
<7>[   50.110395]  [1:   cameraserver: 3390] [@][0][WRN]already back stop
<7>[   50.110408]  [1:   cameraserver: 3390] [@][0][BAK:D] fimc_is_sensor_back_stop():0
<7>[   50.110417]  [1:   cameraserver: 3390] [@][0][WRN]already front stop
<7>[   50.110426]  [1:   cameraserver: 3390] [@][0][FRT:D] fimc_is_sensor_front_stop():0
<7>[   50.110558]  [1:   cameraserver: 3390] [@]fimc_is_sensor_deinit_mode_change_thread: 
<7>[   50.110577]  [1:   cameraserver: 3390] [@][COMP][S0][C73C3_DeInit]
<6>[   50.110586]  [1:   cameraserver: 3390] [MOD:D:32] sensor_module_deinit
<7>[   50.110595]  [1:   cameraserver: 3390] [@]fimc_is_load_clear() done
<7>[   50.110640]  [1:   cameraserver: 3390] [@]fimc_is_vender_module_del[1202] disable actuator i2c client. position = 0
<7>[   50.110659]  [1:   cameraserver: 3390] [@]fimc_is_vender_module_del[1207] disable ois i2c client. position = 0
<7>[   50.110670]  [1:   cameraserver: 3390] [@]fimc_is_vender_module_del[1212] disable preprocessor i2c client. position = 0
<7>[   50.110682]  [1:   cameraserver: 3390] [@]fimc_is_vender_module_del[1217] disable cis i2c client. position = 0
<7>[   50.110712]  [1:   cameraserver: 3390] [@][0]fimc_is_sensor_mclk_off : already clk off
<7>[   50.110722]  [1:   cameraserver: 3390] [@][SEN:D:0] fimc_is_sensor_runtime_suspend():0
<7>[   50.110739]  [1:   cameraserver: 3390] [@][RSC] rsctype: 0, rsccount: device[0], core[2]
<7>[   50.110749]  [1:   cameraserver: 3390] [@][0][SEN:D] fimc_is_sensor_close():0
<7>[   50.110768]  [1:   cameraserver: 3390] [@][0][SS0:V] fimc_is_ssx_video_close(0):0
<7>[   50.111219]  [1:   cameraserver: 3390] [@][0][WRN]already group stop
<7>[   50.111238]  [1:   cameraserver: 3390] [@][0][GP6]fimc_is_ischain_mcs_stop(0):0
<7>[   50.111327]  [2:   cameraserver: 3390] [@][0][M0S:V] fimc_is_mcs_video_close(5,0):0
<7>[   50.111533]  [2:   cameraserver: 3390] [@][0][WRN]already group stop
<7>[   50.111550]  [2:   cameraserver: 3390] [@][0][GP4]fimc_is_ischain_dis_stop(0):0
<7>[   50.111627]  [2:   cameraserver: 3390] [@][0][D0S:V] fimc_is_dxs_video_close(4,0):0
<7>[   50.111787]  [2:   cameraserver: 3390] [@][0][M2P:V] fimc_is_mxp_video_close(3,0):0
<7>[   50.112023]  [2:   cameraserver: 3390] [@][0][M0P:V] fimc_is_mxp_video_close(2,0):0
<7>[   50.112160]  [2:   cameraserver: 3390] [@][0][I0C:V] fimc_is_ixc_video_close(1,0):0
<7>[   50.112260]  [2:   cameraserver: 3390] [@][0][WRN]already group stop
<7>[   50.112273]  [2:   cameraserver: 3390] [@][0][GP2]fimc_is_ischain_isp_stop(5):0
<7>[   50.112351]  [2:   cameraserver: 3390] [@][HW][0]delete_setfile: hw_map (0x920a)
<7>[   50.112411]  [2:   cameraserver: 3390] [@][LIB][0]delete_tune_set index(0)
<7>[   50.112435]  [2:   cameraserver: 3390] [@][LIB][0]delete_tune_set index(1)
<7>[   50.112455]  [2:   cameraserver: 3390] [@][LIB][0]delete_tune_set index(2)
<7>[   50.112474]  [2:   cameraserver: 3390] [@][LIB][0]delete_tune_set index(3)
<7>[   50.112493]  [2:   cameraserver: 3390] [@][LIB][0]delete_tune_set index(4)
<7>[   50.112511]  [2:   cameraserver: 3390] [@][LIB][0]delete_tune_set index(5)
<7>[   50.112530]  [2:   cameraserver: 3390] [@][LIB][0]delete_tune_set index(6)
<7>[   50.112549]  [2:   cameraserver: 3390] [@][LIB][0]delete_tune_set index(7)
<7>[   50.112567]  [2:   cameraserver: 3390] [@][LIB][0]delete_tune_set index(8)
<7>[   50.112585]  [2:   cameraserver: 3390] [@][LIB][0]delete_tune_set index(9)
<7>[   50.112604]  [2:   cameraserver: 3390] [@][LIB][0]delete_tune_set index(10)
<7>[   50.112623]  [2:   cameraserver: 3390] [@][LIB][0]delete_tune_set index(11)
<7>[   50.112642]  [2:   cameraserver: 3390] [@][LIB][0]delete_tune_set index(12)
<7>[   50.112660]  [2:   cameraserver: 3390] [@][LIB][0]delete_tune_set index(13)
<7>[   50.112678]  [2:   cameraserver: 3390] [@][LIB][0]delete_tune_set index(14)
<7>[   50.112696]  [2:   cameraserver: 3390] [@][LIB][0]delete_tune_set index(15)
<7>[   50.112720]  [2:   cameraserver: 3390] [@][LIB][0]delete_tune_set index(16)
<7>[   50.112739]  [2:   cameraserver: 3390] [@][LIB][0]delete_tune_set index(17)
<6>[   50.112782]  [2:   cameraserver: 3390] [@][LIB] [@][RTA]AF_OnEvent[F:  12][0] AF_EVENT_ID_DESTROY  GetIrqRegFlag=0
<6>[   50.112796]  [2:   cameraserver: 3390] [@][LIB] [3A_extern_wrapper] Destroy Rear[0] AF Ver 0x0170
<7>[   50.113676]  [2:   cameraserver: 3390] [@][LIB][0]object_destroy done [ID:1]
<7>[   50.114461]  [2:   cameraserver: 3390] [@][LIB][0]chain_destroy done [ID:1]
<7>[   50.114480]  [2:   cameraserver: 3390] [@][HW][0]close (1)(0)
<7>[   50.114698]  [2:   cameraserver: 3390] [@][LIB][0]object_destroy done [ID:3]
<7>[   50.115021]  [2:   cameraserver: 3390] [@][LIB][0]chain_destroy done [ID:3]
<7>[   50.115035]  [2:   cameraserver: 3390] [@][HW][0]close (3)(0)
<7>[   50.115084]  [3:   shot_m2m_hw3: 8475] [@][HW]multi-shot kthread: shot_m2m_hw3[8475] is waiting to stop
<7>[   50.115096]  [3:   shot_m2m_hw3: 8475] [@][HW]multi-shot kthread: shot_m2m_hw3[8475] is stopping
<7>[   50.115319]  [1:   cameraserver: 3390] [@][LIB][0]object_destroy done [ID:9]
<7>[   50.115548]  [1:   cameraserver: 3390] [@][LIB][0]chain_destroy done [ID:9]
<7>[   50.115567]  [1:   cameraserver: 3390] [@][HW][0]close (9)(0)
<7>[   50.115583]  [1:   cameraserver: 3390] [@][HW][0]close (12)(0)
<7>[   50.115607]  [1:   cameraserver: 3390] [@][LIB]FWALGS_TASK_SET_ABORT (0)
<7>[   50.115714]  [1:   cameraserver: 3390] [@][HW][0]close (15)(0)
<7>[   50.115731]  [1:   cameraserver: 3390] [@]fimc_is_itf_close_wrap: done: hw_map[0x0][RSC:1]
<7>[   50.115741]  [1:   cameraserver: 3390] [@][RSC] rsctype: 6, rsccount: device[1], core[1]
<7>[   50.115751]  [1:   cameraserver: 3390] [@][0][ISC:D] fimc_is_ischain_close():0
<7>[   50.115769]  [1:   cameraserver: 3390] [@][0][I0S:V] fimc_is_ixs_video_close(0,0):0
<7>[   50.118918]  [1:   cameraserver: 3390] [@][1][WRN]already group stop
<7>[   50.118937]  [1:   cameraserver: 3390] [@][1][GP7]fimc_is_ischain_mcs_stop(0):0
<7>[   50.119005]  [1:   cameraserver: 3390] [@][1][M1S:V] fimc_is_mcs_video_close(8,0):0
<7>[   50.119169]  [1:   cameraserver: 3390] [@][1][I1P:V] fimc_is_ixp_video_close(7,0):0
<7>[   50.119274]  [1:   cameraserver: 3390] [@][1][WRN]already group stop
<7>[   50.119287]  [1:   cameraserver: 3390] [@][1][GP3]fimc_is_ischain_isp_stop(0):0
<7>[   50.119372]  [1:   cameraserver: 3390] [@][1][I1S:V] fimc_is_ixs_video_close(6,0):0
<7>[   50.119488]  [1:   cameraserver: 3390] [@][1][31P:V] fimc_is_3xp_video_close(5,0):0
<7>[   50.120609]  [1:   cameraserver: 3390] [@][1][M1P:V] fimc_is_mxp_video_close(4,0):0
<7>[   50.120759]  [1:   cameraserver: 3390] [@][1][M4P:V] fimc_is_mxp_video_close(3,0):0
<7>[   50.120855]  [1:   cameraserver: 3390] [@][1][M3P:V] fimc_is_mxp_video_close(2,0):0
<7>[   50.120944]  [1:   cameraserver: 3390] [@][1][I1C:V] fimc_is_ixc_video_close(1,0):0
<7>[   50.121028]  [1:   cameraserver: 3390] [@][1][WRN]already group stop
<7>[   50.121039]  [1:   cameraserver: 3390] [@][1][WRN]already stop
<7>[   50.121049]  [1:   cameraserver: 3390] [@][1][GP1]fimc_is_ischain_3aa_stop(0):0
<7>[   50.121116]  [1:   cameraserver: 3390] [@][LIB]fimc_is_flush_ddk_thread
<7>[   50.121170]  [1:   cameraserver: 3390] [@][LIB]flush_ddk_thread: kthread_stop [0]
<7>[   50.121212]  [1:   cameraserver: 3390] [@][LIB]flush_ddk_thread: kthread_stop [1]
<7>[   50.121267]  [1:   cameraserver: 3390] [@][LIB]flush_ddk_thread: kthread_stop [2]
<7>[   50.121312]  [1:   cameraserver: 3390] [@][LIB]flush_ddk_thread: kthread_stop [3]
<7>[   50.121348]  [1:   cameraserver: 3390] [@][LIB]flush_ddk_thread: kthread_stop [4]
<7>[   50.121397]  [1:   cameraserver: 3390] [@][LIB]flush_ddk_thread: kthread_stop [5]
<7>[   50.121407]  [1:   cameraserver: 3390] [@][HW][1]delete_setfile: hw_map (0x2014)
<7>[   50.121443]  [1:   cameraserver: 3390] [@][LIB][1]delete_tune_set index(0)
<7>[   50.121459]  [1:   cameraserver: 3390] [@][LIB][1]delete_tune_set index(1)
<7>[   50.121475]  [1:   cameraserver: 3390] [@][LIB][1]delete_tune_set index(2)
<7>[   50.121490]  [1:   cameraserver: 3390] [@][LIB][1]delete_tune_set index(3)
<7>[   50.121506]  [1:   cameraserver: 3390] [@][LIB][1]delete_tune_set index(4)
<7>[   50.121522]  [1:   cameraserver: 3390] [@][LIB][1]delete_tune_set index(5)
<7>[   50.121537]  [1:   cameraserver: 3390] [@][LIB][1]delete_tune_set index(6)
<7>[   50.121552]  [1:   cameraserver: 3390] [@][LIB][1]delete_tune_set index(7)
<7>[   50.121605]  [1:   cameraserver: 3390] [@][LIB][1]delete_tune_set index(8)
<7>[   50.121621]  [1:   cameraserver: 3390] [@][LIB][1]delete_tune_set index(9)
<7>[   50.121637]  [1:   cameraserver: 3390] [@][LIB][1]delete_tune_set index(10)
<7>[   50.121668]  [1:   cameraserver: 3390] [@][LIB][1]delete_tune_set index(11)
<7>[   50.121685]  [1:   cameraserver: 3390] [@][LIB][1]delete_tune_set index(12)
<7>[   50.121700]  [1:   cameraserver: 3390] [@][LIB][1]delete_tune_set index(13)
<7>[   50.121716]  [1:   cameraserver: 3390] [@][LIB][1]delete_tune_set index(14)
<7>[   50.121731]  [1:   cameraserver: 3390] [@][LIB][1]delete_tune_set index(15)
<7>[   50.121747]  [1:   cameraserver: 3390] [@][LIB][1]delete_tune_set index(16)
<7>[   50.121762]  [1:   cameraserver: 3390] [@][LIB][1]delete_tune_set index(17)
<7>[   50.122050]  [1:   cameraserver: 3390] [@][LIB][1]object_destroy done [ID:2]
<7>[   50.122323]  [1:   cameraserver: 3390] [@][LIB][1]chain_destroy done [ID:2]
<7>[   50.122341]  [1:   cameraserver: 3390] [@][HW][1]close (2)(0)
<7>[   50.122378]  [3:   shot_m2m_hw2: 8493] [@][HW]multi-shot kthread: shot_m2m_hw2[8493] is waiting to stop
<7>[   50.122389]  [3:   shot_m2m_hw2: 8493] [@][HW]multi-shot kthread: shot_m2m_hw2[8493] is stopping
<7>[   50.122812]  [1:   cameraserver: 3390] [@][LIB][1]object_destroy done [ID:4]
<7>[   50.122942]  [1:   cameraserver: 3390] [@][LIB][1]chain_destroy done [ID:4]
<7>[   50.122958]  [1:   cameraserver: 3390] [@][HW][1]close (4)(0)
<7>[   50.122975]  [1:   cameraserver: 3390] [@][HW][1]close (13)(0)
<7>[   50.122986]  [1:   cameraserver: 3390] [@]fimc_is_itf_close_wrap: done: hw_map[0x0][RSC:0]
<7>[   50.123007]  [1:   cameraserver: 3390] [@]FIMC_IS runtime suspend in
<6>[   50.123064]  [1:   cameraserver: 3390] exynos-pcie 116a0000.pcie0: exynos_pcie_set_l1ss: START (state = 0x6, id = 0x4, enable = 1)
<6>[   50.123077]  [1:   cameraserver: 3390] exynos-pcie 116a0000.pcie0: exynos_pcie_set_l1ss: Can't enable L1ss. (state = 0x2, id = 0x4)
<6>[   50.123088]  [1:   cameraserver: 3390] exynos-pcie 116a0000.pcie0: exynos_pcie_set_l1ss: END (state = 0x2, id = 0x4, enable = 1)
<7>[   50.123949]  [1:   cameraserver: 3390] [@]FIMC_IS runtime suspend out
<7>[   50.124537]  [1:   cameraserver: 3390] [@]fimc_is_ischain_power(0):0
<7>[   50.124556]  [1:   cameraserver: 3390] [@]fimc_is_resource_put: call cpuidle_resume()
<7>[   50.124566]  [1:   cameraserver: 3390] [@]fimc_is_resource_put: call bts_update_scen(0)
<7>[   50.124588]  [1:   cameraserver: 3390] [@][RSC] rsctype: 6, rsccount: device[0], core[0]
<7>[   50.124598]  [1:   cameraserver: 3390] [@][1][ISC:D] fimc_is_ischain_close():0
<7>[   50.124620]  [1:   cameraserver: 3390] [@][1][31S:V] fimc_is_3aa_video_close(0,0):0
<6>[   50.143256]  [3:            iod: 4837] !@   8,0 r 61827 3107680 w 10291 123048 d 762 30224 f 2763 6320 iot 16708 15801 th 409084 0 0 pt 0 inp 0 0 50.134
<7>[   50.149868]  [0:  Binder:3833_6: 4464] HRM_dbg : hrm_enable_store en : 0 m : 0 c : 2
<7>[   50.149899]  [0:  Binder:3833_6: 4464] HRM_dbg : hrm_disable
<7>[   50.152109]  [0:  Binder:3833_6: 4464] HRM_dbg : adpd_disable - disable_m : 0x0	 cur_m : 0x0
<7>[   50.152128]  [0:  Binder:3833_6: 4464] HRM_dbg : __adpd_print_mode - ===== mode(0) =====
<7>[   50.152137]  [0:  Binder:3833_6: 4464] HRM_dbg : __adpd_print_mode - ====================
<6>[   50.171972]  [1:    kworker/1:2: 7320] thermal thermal_zone0: [TMU] last_temperature=60000, current_temperature=60000
<7>[   50.176360]  [2:  Binder:3833_6: 4464] HRM_dbg : __adpd_mode_switching - IDLE MODE
<7>[   50.177103]  [2:  Binder:3833_6: 4464] HRM_dbg : hrm_power_ctrl - onoff : 0, state : 1
<7>[   50.177325]  [2:  Binder:3833_6: 4464] HRM_dbg : hrm_power_ctrl - onoff = 0
<6>[   50.177347]  [2:  Binder:3833_6: 4464] s2m_disable_regmap: s2dos03-ldo2 disable (0x3)
<6>[   50.178211]  [2:  Binder:3833_6: 4464] s2m_disable_regmap: s2dos03-ldo4 disable (0x3)
<7>[   50.178572]  [2:  Binder:3833_6: 4464] HRM_dbg : hrm_mode_enable - onoff = 0 m : 0 c : 0
<6>[   50.181106]  [0:  Binder:3833_A: 4511] [SSP]: show_sensors_enable - cur_enable = 16899
<6>[   50.181241]  [0:  Binder:3833_A: 4511] [SSP]: set_sensors_enable - new_enable = 16897, old_enable = 16899
<6>[   50.181254]  [0:  Binder:3833_A: 4511] [SSP]: ssp_remove_sensor - remove sensor = 2, current state = 16897
